cardId,year,name,playerType,split,field,sourceUrl,sourceIdentity,reference,before,after
43,2005,강민호,Hitter,Holdout,Cost,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/43f.jpg,SEASON_10641f3dabd0d1e2b603,4,5,5
43,2005,강민호,Hitter,Holdout,Contact,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/43f.jpg,SEASON_10641f3dabd0d1e2b603,60,38,56
43,2005,강민호,Hitter,Holdout,Power,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/43f.jpg,SEASON_10641f3dabd0d1e2b603,52,36,54
43,2005,강민호,Hitter,Holdout,Speed,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/43f.jpg,SEASON_10641f3dabd0d1e2b603,55,51,59
43,2005,강민호,Hitter,Holdout,Defense,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/43f.jpg,SEASON_10641f3dabd0d1e2b603,71,47,68
43,2005,강민호,Hitter,Holdout,BatterMental,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/43f.jpg,SEASON_10641f3dabd0d1e2b603,58,40,56
75,2001,강성우,Hitter,Train,Cost,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/75f.jpg,SEASON_7888492eff84816b6536,4,3,3
75,2001,강성우,Hitter,Train,Contact,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/75f.jpg,SEASON_7888492eff84816b6536,49,25,38
75,2001,강성우,Hitter,Train,Power,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/75f.jpg,SEASON_7888492eff84816b6536,44,25,46
75,2001,강성우,Hitter,Train,Speed,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/75f.jpg,SEASON_7888492eff84816b6536,64,50,59
75,2001,강성우,Hitter,Train,Defense,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/75f.jpg,SEASON_7888492eff84816b6536,65,54,73
75,2001,강성우,Hitter,Train,BatterMental,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/75f.jpg,SEASON_7888492eff84816b6536,56,26,50
91,2000,강인권,Hitter,Train,Cost,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/91f.jpg,SEASON_bd079463f7c78f6cd3a2,4,4,4
91,2000,강인권,Hitter,Train,Contact,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/91f.jpg,SEASON_bd079463f7c78f6cd3a2,60,44,60
91,2000,강인권,Hitter,Train,Power,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/91f.jpg,SEASON_bd079463f7c78f6cd3a2,48,31,51
91,2000,강인권,Hitter,Train,Speed,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/91f.jpg,SEASON_bd079463f7c78f6cd3a2,54,55,55
91,2000,강인권,Hitter,Train,Defense,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/91f.jpg,SEASON_bd079463f7c78f6cd3a2,66,55,55
91,2000,강인권,Hitter,Train,BatterMental,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/91f.jpg,SEASON_bd079463f7c78f6cd3a2,52,57,63
318,2004,김동수,Hitter,Train,Cost,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/318f.jpg,SEASON_5e12023342af28383662,4,6,6
318,2004,김동수,Hitter,Train,Contact,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/318f.jpg,SEASON_5e12023342af28383662,60,44,60
318,2004,김동수,Hitter,Train,Power,https://img.inven.co.kr/image/site_image/bm/dataninfo/playercard/318f.jpg,SEASON_5e12023342af28383662,51,35,53
